Net ID,Net Name,Type,Layer,Start X,Start Y,End X,End Y,Width/Size
3,VCC,Segment,F.Cu,109.0,78.31,109.1,78.3,0.2
3,VCC,Segment,F.Cu,109.1,78.3,111.8,78.3,0.2
3,VCC,Segment,F.Cu,111.8,78.3,112.2,78.7,0.2
3,VCC,Segment,F.Cu,112.2,78.7,112.6,78.7,0.2
3,VCC,Segment,F.Cu,112.6,78.7,112.7,78.8,0.2
3,VCC,Segment,F.Cu,112.7,78.8,113.8,78.8,0.2
3,VCC,Segment,F.Cu,113.8,78.8,113.89,78.79,0.2
3,VCC,Segment,F.Cu,113.89,78.79,114.0,78.8,0.2
3,VCC,Segment,F.Cu,114.0,78.8,123.1,78.8,0.2
3,VCC,Segment,F.Cu,123.1,78.8,123.19,78.79,0.2
1,GND,Segment,F.Cu,110.95,75.14,111.1,75.2,0.2
1,GND,Segment,F.Cu,111.1,75.2,112.5,76.6,0.2
1,GND,Segment,F.Cu,112.5,76.6,112.5,76.8,0.2
1,GND,Segment,F.Cu,112.5,76.8,112.6,76.9,0.2
1,GND,Segment,F.Cu,112.6,76.9,112.8,76.9,0.2
1,GND,Segment,F.Cu,112.8,76.9,113.3,77.4,0.2
1,GND,Segment,F.Cu,113.3,77.4,113.8,77.4,0.2
1,GND,Segment,F.Cu,113.8,77.4,113.89,77.52,0.2
1,GND,Segment,F.Cu,113.89,77.52,113.8,77.5,0.2
1,GND,Segment,F.Cu,113.8,77.5,113.7,77.5,0.2
1,GND,Segment,In1.Cu,113.7,77.5,113.7,80.0,0.2
1,GND,Segment,F.Cu,113.7,80.0,113.8,80.0,0.2
1,GND,Segment,F.Cu,113.8,80.0,113.89,80.06,0.2
1,GND,Via,F.Cu/In1.Cu,113.7,77.5,113.7,77.5,0.6
1,GND,Via,In1.Cu/F.Cu,113.7,80.0,113.7,80.0,0.6
2,Net-(C1-Pad1),Segment,F.Cu,109.05,75.14,109.0,75.2,0.2
2,Net-(C1-Pad1),Segment,F.Cu,109.0,75.2,109.0,77.29,0.2
5,Net-(U1-FB),Segment,F.Cu,121.93,71.55,121.8,71.5,0.2
5,Net-(U1-FB),Segment,F.Cu,121.8,71.5,119.7,71.5,0.2
5,Net-(U1-FB),Segment,F.Cu,119.7,71.5,115.0,76.2,0.2
5,Net-(U1-FB),Segment,F.Cu,115.0,76.2,114.0,76.2,0.2
5,Net-(U1-FB),Segment,F.Cu,114.0,76.2,113.89,76.25,0.2
4,Net-(U1-OUT),Segment,F.Cu,122.95,71.55,123.0,71.6,0.2
4,Net-(U1-OUT),Segment,F.Cu,123.0,71.6,123.0,72.0,0.2
4,Net-(U1-OUT),Segment,F.Cu,123.0,72.0,121.8,73.2,0.2
4,Net-(U1-OUT),Segment,F.Cu,121.8,73.2,121.8,75.5,0.2
4,Net-(U1-OUT),Segment,F.Cu,121.8,75.5,122.4,76.1,0.2
4,Net-(U1-OUT),Segment,F.Cu,122.4,76.1,123.1,76.1,0.2
4,Net-(U1-OUT),Segment,F.Cu,123.1,76.1,123.19,76.25,0.2
