Net ID,Net Name,Type,Layer,Start X,Start Y,End X,End Y,Width/Size
4,+1V2,Segment,F.Cu,146.4,105.53,146.5,105.61,0.2
4,+1V2,Segment,F.Cu,146.5,105.61,146.7,105.81,0.2
4,+1V2,Segment,F.Cu,146.7,105.81,147.9,105.81,0.2
4,+1V2,Segment,F.Cu,147.9,105.81,148.5,106.41,0.2
4,+1V2,Segment,F.Cu,148.5,106.41,148.7,106.41,0.2
4,+1V2,Segment,F.Cu,148.7,106.41,148.8,106.51,0.2
4,+1V2,Segment,F.Cu,148.8,106.51,149.0,106.51,0.2
4,+1V2,Segment,F.Cu,149.0,106.51,149.3,106.81,0.2
4,+1V2,Segment,F.Cu,149.3,106.81,149.5,106.81,0.2
4,+1V2,Segment,F.Cu,149.5,106.81,154.7,112.01,0.2
4,+1V2,Segment,F.Cu,154.7,112.01,154.9,112.01,0.2
4,+1V2,Segment,F.Cu,154.9,112.01,156.4,113.51,0.2
4,+1V2,Segment,F.Cu,156.4,113.51,157.0,113.51,0.2
4,+1V2,Segment,F.Cu,157.0,113.51,157.5,114.01,0.2
4,+1V2,Segment,F.Cu,157.5,114.01,163.9,114.01,0.2
4,+1V2,Segment,F.Cu,163.9,114.01,164.0,114.11,0.2
4,+1V2,Segment,F.Cu,164.0,114.11,168.4,114.11,0.2
4,+1V2,Segment,F.Cu,168.4,114.11,168.8,114.51,0.2
4,+1V2,Segment,F.Cu,168.8,114.51,171.9,114.51,0.2
4,+1V2,Segment,F.Cu,171.9,114.51,174.4,117.01,0.2
4,+1V2,Segment,F.Cu,174.4,117.01,175.3,117.01,0.2
4,+1V2,Segment,F.Cu,175.3,117.01,175.4,117.0,0.2
4,+1V2,Segment,F.Cu,175.4,117.0,175.1,116.71,0.2
4,+1V2,Segment,F.Cu,175.1,116.71,174.7,116.71,0.2
4,+1V2,Segment,F.Cu,174.7,116.71,164.7,106.71,0.2
4,+1V2,Segment,F.Cu,164.7,106.71,162.2,106.71,0.2
4,+1V2,Segment,F.Cu,162.2,106.71,161.9,106.41,0.2
4,+1V2,Segment,F.Cu,161.9,106.41,154.3,106.41,0.2
4,+1V2,Segment,F.Cu,154.3,106.41,154.0,106.11,0.2
4,+1V2,Segment,F.Cu,154.0,106.11,150.7,106.11,0.2
4,+1V2,Segment,F.Cu,150.7,106.11,149.9,105.31,0.2
4,+1V2,Segment,F.Cu,149.9,105.31,149.1,105.31,0.2
4,+1V2,Segment,F.Cu,149.1,105.31,149.0,105.34,0.2
4,+1V2,Segment,F.Cu,149.0,105.34,149.1,105.41,0.2
4,+1V2,Segment,F.Cu,149.1,105.41,150.2,106.51,0.2
4,+1V2,Segment,F.Cu,150.2,106.51,150.6,106.51,0.2
4,+1V2,Segment,F.Cu,150.6,106.51,151.8,107.71,0.2
4,+1V2,Segment,F.Cu,151.8,107.71,160.6,107.71,0.2
4,+1V2,Segment,F.Cu,160.6,107.71,160.8,107.91,0.2
4,+1V2,Segment,F.Cu,160.8,107.91,164.1,107.91,0.2
4,+1V2,Segment,F.Cu,164.1,107.91,164.24,107.88,0.2
4,+1V2,Segment,F.Cu,164.24,107.88,164.3,107.91,0.2
4,+1V2,Segment,F.Cu,164.3,107.91,164.4,107.91,0.2
4,+1V2,Segment,F.Cu,164.4,107.91,165.5,109.01,0.2
4,+1V2,Segment,In1.Cu,165.5,109.01,166.6,107.91,0.2
4,+1V2,Segment,In1.Cu,166.6,107.91,167.4,107.91,0.2
4,+1V2,Segment,F.Cu,167.4,107.91,167.3,107.91,0.2
4,+1V2,Segment,F.Cu,167.3,107.91,166.9,107.51,0.2
4,+1V2,Via,F.Cu/In1.Cu,165.5,109.01,165.5,109.01,0.6
4,+1V2,Via,In1.Cu/F.Cu,167.4,107.91,167.4,107.91,0.6
2,GND,Segment,F.Cu,131.9,99.01,143.4,99.01,0.2
2,GND,Segment,F.Cu,143.4,99.01,144.7,100.31,0.2
2,GND,Segment,F.Cu,144.7,100.31,147.4,100.31,0.2
2,GND,Segment,F.Cu,147.4,100.31,148.2,101.11,0.2
2,GND,Segment,F.Cu,148.2,101.11,148.3,101.11,0.2
2,GND,Segment,F.Cu,148.3,101.11,148.5,101.31,0.2
2,GND,Segment,F.Cu,148.5,101.31,148.6,101.31,0.2
2,GND,Segment,F.Cu,148.6,101.31,148.7,101.41,0.2
2,GND,Segment,F.Cu,148.7,101.41,156.4,101.41,0.2
2,GND,Segment,F.Cu,156.4,101.41,156.5,101.51,0.2
2,GND,Segment,F.Cu,156.5,101.51,166.2,101.51,0.2
2,GND,Segment,F.Cu,166.2,101.51,167.5,102.81,0.2
2,GND,Segment,F.Cu,167.5,102.81,168.4,102.81,0.2
2,GND,Segment,F.Cu,168.4,102.81,168.5,102.77,0.2
2,GND,Segment,F.Cu,168.5,102.77,168.4,102.81,0.2
2,GND,Segment,F.Cu,168.4,102.81,164.5,98.91,0.2
2,GND,Segment,F.Cu,164.5,98.91,164.1,98.91,0.2
2,GND,Segment,F.Cu,164.1,98.91,164.0,98.81,0.2
2,GND,Segment,F.Cu,164.0,98.81,163.6,98.81,0.2
2,GND,Segment,F.Cu,163.6,98.81,157.5,92.71,0.2
2,GND,Segment,F.Cu,157.5,92.71,153.2,92.71,0.2
2,GND,Segment,F.Cu,153.2,92.71,149.2,88.71,0.2
2,GND,Segment,F.Cu,149.2,88.71,146.1,88.71,0.2
2,GND,Segment,F.Cu,146.1,88.71,144.2,86.81,0.2
2,GND,Segment,F.Cu,144.2,86.81,140.5,86.81,0.2
2,GND,Segment,F.Cu,140.5,86.81,139.7,86.01,0.2
2,GND,Segment,F.Cu,139.7,86.01,139.4,86.01,0.2
2,GND,Segment,F.Cu,139.4,86.01,139.2725,86.06,0.2
2,GND,Segment,F.Cu,146.4,106.49,146.5,106.61,0.2
2,GND,Segment,F.Cu,146.5,106.61,146.6,106.61,0.2
2,GND,Segment,F.Cu,146.6,106.61,146.8,106.81,0.2
2,GND,Segment,F.Cu,146.8,106.81,147.0,106.81,0.2
2,GND,Segment,F.Cu,147.0,106.81,148.1,107.91,0.2
2,GND,Segment,F.Cu,148.1,107.91,148.9,107.91,0.2
2,GND,Segment,F.Cu,148.9,107.91,149.0,107.88,0.2
2,GND,Segment,F.Cu,149.0,107.88,149.1,107.91,0.2
2,GND,Segment,F.Cu,149.1,107.91,149.2,107.91,0.2
2,GND,Segment,F.Cu,149.2,107.91,150.3,109.01,0.2
2,GND,Segment,In1.Cu,150.3,109.01,150.6,108.71,0.2
2,GND,Segment,In1.Cu,150.6,108.71,152.9,108.71,0.2
2,GND,Segment,In1.Cu,152.9,108.71,156.3,105.31,0.2
2,GND,Segment,F.Cu,156.3,105.31,164.1,105.31,0.2
2,GND,Segment,F.Cu,164.1,105.31,164.24,105.34,0.2
2,GND,Via,F.Cu/In1.Cu,150.3,109.01,150.3,109.01,0.6
2,GND,Via,In1.Cu/F.Cu,156.3,105.31,156.3,105.31,0.6
2,GND,Segment,F.Cu,164.24,105.34,164.3,105.31,0.2
2,GND,Segment,F.Cu,164.3,105.31,164.6,105.61,0.2
2,GND,Segment,F.Cu,164.6,105.61,165.6,105.61,0.2
2,GND,Segment,F.Cu,165.6,105.61,166.5,106.51,0.2
2,GND,Segment,F.Cu,166.5,106.51,166.8,106.51,0.2
2,GND,Segment,F.Cu,166.8,106.51,166.9,106.55,0.2
2,GND,Segment,B.Cu,131.4,95.97,131.4,99.11,0.2
2,GND,Segment,B.Cu,131.4,99.11,132.7,100.41,0.2
2,GND,Segment,B.Cu,132.7,100.41,132.7,100.81,0.2
2,GND,Segment,B.Cu,132.7,100.81,133.0,101.11,0.2
2,GND,Segment,F.Cu,133.0,101.11,135.1,103.21,0.2
2,GND,Segment,F.Cu,135.1,103.21,135.1,103.41,0.2
2,GND,Segment,F.Cu,135.1,103.41,135.2,103.51,0.2
2,GND,Segment,F.Cu,135.2,103.51,135.2,104.71,0.2
2,GND,Segment,F.Cu,135.2,104.71,137.9,107.41,0.2
2,GND,Segment,F.Cu,137.9,107.41,138.03,107.5,0.2
2,GND,Via,B.Cu/F.Cu,133.0,101.11,133.0,101.11,0.6
6,Net-(D1-A),Segment,F.Cu,168.5,100.23,168.4,100.11,0.2
6,Net-(D1-A),Segment,F.Cu,168.4,100.11,167.8,100.11,0.2
6,Net-(D1-A),Segment,F.Cu,167.8,100.11,167.6,99.91,0.2
6,Net-(D1-A),Segment,F.Cu,167.6,99.91,166.9,99.91,0.2
6,Net-(D1-A),Segment,F.Cu,166.9,99.91,166.6,99.61,0.2
6,Net-(D1-A),Segment,In1.Cu,166.6,99.61,166.5,99.61,0.2
6,Net-(D1-A),Segment,In1.Cu,166.5,99.61,166.2,99.31,0.2
6,Net-(D1-A),Segment,In1.Cu,166.2,99.31,164.8,99.31,0.2
6,Net-(D1-A),Segment,In1.Cu,164.8,99.31,164.7,99.21,0.2
6,Net-(D1-A),Segment,In1.Cu,164.7,99.21,164.6,99.21,0.2
6,Net-(D1-A),Segment,In1.Cu,164.6,99.21,164.5,99.11,0.2
6,Net-(D1-A),Segment,In1.Cu,164.5,99.11,162.9,99.11,0.2
6,Net-(D1-A),Segment,In1.Cu,162.9,99.11,162.7,99.31,0.2
6,Net-(D1-A),Segment,F.Cu,162.7,99.31,163.3,99.31,0.2
6,Net-(D1-A),Segment,F.Cu,163.3,99.31,164.24,100.26,0.2
6,Net-(D1-A),Via,F.Cu/In1.Cu,166.6,99.61,166.6,99.61,0.6
6,Net-(D1-A),Via,In1.Cu/F.Cu,162.7,99.31,162.7,99.31,0.6
